fips,2022,2023,2024
16079,265.334,124.75,99.75
16081,265.334,124.75,99.75
16083,265.334,124.75,99.75
16085,265.334,124.75,99.75
16087,265.334,124.75,99.75
17001,265.334,124.75,99.75
17003,265.334,124.75,99.75
17005,265.334,124.75,99.75
17007,265.334,124.75,99.75
17009,265.334,124.75,99.75
17011,265.334,124.75,99.75
17013,265.334,124.75,99.75
17015,265.334,124.75,99.75
17017,265.334,124.75,99.75
17019,265.334,124.75,99.75
17021,265.334,124.75,99.75
17023,265.334,124.75,99.75
17025,265.334,124.75,99.75
17027,265.334,124.75,99.75
17029,265.334,124.75,99.75
17031,265.334,124.75,99.75
17033,265.334,124.75,99.75
17035,265.334,124.75,99.75
17037,265.334,124.75,99.75
17039,265.334,124.75,99.75
17041,265.334,124.75,99.75
17043,265.334,124.75,99.75
17045,265.334,124.75,99.75
17047,265.334,124.75,99.75
17049,265.334,124.75,99.75
17051,265.334,124.75,99.75
17053,265.334,124.75,99.75
17055,265.334,124.75,99.75
17057,265.334,124.75,99.75
17059,265.334,124.75,99.75
17061,265.334,124.75,99.75
17063,265.334,124.75,99.75
17065,265.334,124.75,99.75
17067,265.334,124.75,99.75
17069,265.334,124.75,99.75
17071,265.334,124.75,99.75
17073,265.334,124.75,99.75
17075,265.334,124.75,99.75
17077,265.334,124.75,99.75
17079,265.334,124.75,99.75
17081,265.334,124.75,99.75
17083,265.334,124.75,99.75
17085,265.334,124.75,99.75
17087,265.334,124.75,99.75
17089,265.334,124.75,99.75
17091,265.334,124.75,99.75
17093,265.334,124.75,99.75
17095,265.334,124.75,99.75
17097,265.334,124.75,99.75
17099,265.334,124.75,99.75
17101,265.334,124.75,99.75
17103,265.334,124.75,99.75
17105,265.334,124.75,99.75
17107,265.334,124.75,99.75
17109,265.334,124.75,99.75
17111,265.334,124.75,99.75
17113,265.334,124.75,99.75
17115,265.334,124.75,99.75
17117,265.334,124.75,99.75
17119,265.334,124.75,99.75
17121,265.334,124.75,99.75
17123,265.334,124.75,99.75
17125,265.334,124.75,99.75
17127,265.334,124.75,99.75
17129,265.334,124.75,99.75
17131,265.334,124.75,99.75
17133,265.334,124.75,99.75
17135,265.334,124.75,99.75
17137,265.334,124.75,99.75
17139,265.334,124.75,99.75
17141,265.334,124.75,99.75
17143,265.334,124.75,99.75
17145,265.334,124.75,99.75
17147,265.334,124.75,99.75
17149,265.334,124.75,99.75
17151,265.334,124.75,99.75
17153,265.334,124.75,99.75
17155,265.334,124.75,99.75
17157,265.334,124.75,99.75
17159,265.334,124.75,99.75
17161,265.334,124.75,99.75
17163,265.334,124.75,99.75
17165,265.334,124.75,99.75
17167,265.334,124.75,99.75
17169,265.334,124.75,99.75
17171,265.334,124.75,99.75
17173,265.334,124.75,99.75
17175,265.334,124.75,99.75
17177,265.334,124.75,99.75
17179,265.334,124.75,99.75
17181,265.334,124.75,99.75
17183,265.334,124.75,99.75
17185,265.334,124.75,99.75
17187,265.334,124.75,99.75
17189,265.334,124.75,99.75
17191,265.334,124.75,99.75
17193,265.334,124.75,99.75
17195,265.334,124.75,99.75
17197,265.334,124.75,99.75
17199,265.334,124.75,99.75
17201,265.334,124.75,99.75
17203,265.334,124.75,99.75
18001,265.334,124.75,99.75
18003,265.334,124.75,99.75
18005,265.334,124.75,99.75
18007,265.334,124.75,99.75
18009,265.334,124.75,99.75
18011,265.334,124.75,99.75
18013,265.334,124.75,99.75
18015,265.334,124.75,99.75
18017,265.334,124.75,99.75
18019,265.334,124.75,99.75
18021,265.334,124.75,99.75
18023,265.334,124.75,99.75
18025,265.334,124.75,99.75
18027,265.334,124.75,99.75
18029,265.334,124.75,99.75
18031,265.334,124.75,99.75
18033,265.334,124.75,99.75
18035,265.334,124.75,99.75
18037,265.334,124.75,99.75
18039,265.334,124.75,99.75
18041,265.334,124.75,99.75
18043,265.334,124.75,99.75
18045,265.334,124.75,99.75
18047,265.334,124.75,99.75
18049,265.334,124.75,99.75
18051,265.334,124.75,99.75
18053,265.334,124.75,99.75
18055,265.334,124.75,99.75
18057,265.334,124.75,99.75
18059,265.334,124.75,99.75
18061,265.334,124.75,99.75
18063,265.334,124.75,99.75
18065,265.334,124.75,99.75
18067,265.334,124.75,99.75
18069,265.334,124.75,99.75
18071,265.334,124.75,99.75
18073,265.334,124.75,99.75
18075,265.334,124.75,99.75
18077,265.334,124.75,99.75
18079,265.334,124.75,99.75
18081,265.334,124.75,99.75
18083,265.334,124.75,99.75
18085,265.334,124.75,99.75
18087,265.334,124.75,99.75
18089,265.334,124.75,99.75
18091,265.334,124.75,99.75
18093,265.334,124.75,99.75
18095,265.334,124.75,99.75
18097,265.334,124.75,99.75
18099,265.334,124.75,99.75
18101,265.334,124.75,99.75
18103,265.334,124.75,99.75
18105,265.334,124.75,99.75
18107,265.334,124.75,99.75
18109,265.334,124.75,99.75
18111,265.334,124.75,99.75
