fips,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01109,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01111,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01113,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01115,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01117,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01119,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01121,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01123,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01125,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01127,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
