fips,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
05001,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05003,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05005,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05007,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05009,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05011,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05013,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05015,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05017,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05019,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05021,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05023,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05025,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05027,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05029,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05031,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05033,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05035,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05037,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05039,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05041,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05043,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05045,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
